,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.25298002,0.13875152,0.44724128,-0.114384815,-0.78426725,0.78237224,-0.39462507,-0.96666616,0.047836468,-0.08072332,0.73554814,0.30948767,0.3801456,-0.5458679,0.0949001,0.08943027,0.6810653,0.069167174,0.49007878,0.5063992,0.0011460483,-0.8616974,-0.35784146,-0.2794603,0.3443346,0.10541588,0.5055259,-0.3857109,-0.38010356,0.19456813,0.024410032,0.31795985,0.4055501,-0.008451387,-1.0342475,-0.17019078,0.032748967,-0.6130885,0.54370344,-0.4817229,0.34816715,0.020126283,0.5793035,-0.38512787,0.69336814,0.18494783,-0.0024759918,-0.48320794,-0.39321917,0.66695535,-0.23890126,-0.40300286,0.42563218,-0.18389015,-0.13013512,-1.1478614,0.19619432,0.39310634,-0.49919313,1.171742,-0.3619984,0.19454205,0.39821595,-0.44095472
11,-0.12471631,-0.42431802,-0.2406849,0.37067252,-0.06513359,-0.34466296,-0.08328583,0.10083392,0.12032927,-0.13247773,0.402443,0.03883816,0.27920294,-0.15845071,0.24141154,0.15349032,-0.1543295,0.1483582,-0.21037756,-0.007151289,0.2265952,-0.4059777,0.35575664,0.05433943,0.017487839,-0.09659934,-0.27291334,-0.08574659,-0.08552933,0.09696282,0.044599444,-0.24784766,-0.20670548,0.070055425,0.21868236,0.15401217,0.12339773,0.24487904,-0.11084347,-0.07087465,0.39870837,-0.3541898,-0.026743978,-0.114656515,0.07448957,0.012742445,-0.3174079,0.20121609,-0.327152,-0.21155575,0.021687,-0.049607724,-0.1441481,0.09356649,-0.2707581,-0.23984002,0.56399196,0.13469565,0.2516688,0.021835782,0.010570824,-0.13658115,0.17137566,0.1772867
12,-0.1008617,-0.45853388,0.18680832,-0.30892628,-0.3269642,-0.19510278,0.082356274,-0.1173079,0.31594864,0.32283,0.1524553,0.6658176,0.36380488,-0.3418256,-0.033305615,-0.11852429,0.46688357,0.024121687,0.31298995,-0.062543675,-0.08698457,-0.40652722,-0.091487326,-0.2698174,0.016509786,-0.28853613,-0.24595776,-0.25865632,-0.13652271,-0.2052423,-0.11546002,0.35327414,-0.19832274,0.23848297,-0.31750065,0.30151197,0.40009567,-0.042807363,0.0029530972,-0.17982486,-0.04964994,0.24898627,0.6750872,-0.43381172,0.2920823,0.38607472,0.34169024,-0.45905864,0.17810668,0.158077,-0.2684169,0.1053419,0.07849705,0.1824226,0.27922112,-0.05185239,-0.015738003,-0.33339274,0.18254545,0.6608254,-0.40818548,-0.03319756,0.15342338,-0.07605425
13,0.41761032,-0.1696099,-0.27275556,0.09427248,-0.053240165,0.07289657,0.09591405,0.21021025,0.16755101,-0.089378536,0.105340175,0.29398838,0.056699947,0.11343219,-0.11523223,-0.1436035,-0.054877393,0.23085357,-0.18050455,0.017863117,-0.0058734417,0.054563228,-0.24519628,0.00527839,-0.3691667,0.29637012,-0.15027325,0.12692003,-0.049525164,0.30098405,-0.1060006,0.099098526,-0.2525187,0.23109707,0.22427386,-0.0010620449,-0.3048729,-0.012744419,0.13133149,-0.10179779,0.014523365,0.40574315,-0.089321926,-0.110391945,-0.082431965,0.24009979,0.3740118,0.1742658,0.27965838,-0.022868417,0.007115856,-0.2969486,-0.24745594,0.09196124,-0.09147081,-0.069096304,-0.07893251,0.37304252,-0.09666504,0.048200816,0.16209333,0.31595844,0.26608258,-0.17166233
14,-0.11818408,-0.16105102,0.25599808,-0.34801608,-0.18371402,-0.25030583,0.06912542,-0.17618397,0.21254802,0.28263918,0.55852103,0.25242907,0.12731801,-0.4815697,0.010121807,0.11737609,0.042704843,0.19454977,0.01318714,-0.14769357,-0.28040951,-0.19936623,0.020914983,-0.2578107,-0.08405771,-0.3218887,-0.021593714,-0.19261464,-0.29242188,-0.044684976,-0.19750962,0.24373515,-0.40669692,-0.14667425,-0.14658146,0.3125906,0.35684144,-0.051703997,-0.22723405,-0.29848558,-0.112375185,0.49431482,0.08902304,-0.42112356,-0.029236175,-0.09877763,0.20573616,-0.13656917,0.19110297,0.15520626,-0.23721418,-0.06672321,0.26038295,0.068941996,0.2935693,-0.089927785,-0.013702646,-0.3392394,-0.037910447,0.40182662,-0.31866926,0.25098288,0.0065481365,0.04322014
15,0.15481058,0.1424739,0.34224772,0.080994695,-0.28848052,0.49588013,-0.25759748,-0.17898485,-0.12174468,0.081716225,-0.15411542,0.3451944,-0.024604721,-0.10400062,-0.08880157,0.5491053,-0.029126436,-0.09462155,-0.094678864,0.052076913,0.07274182,-0.19825073,-0.1919404,-0.35077932,-0.038281187,0.18962398,0.114798136,-0.19392373,0.06414233,0.15021099,-0.26894823,-0.32270122,-0.24791041,-0.044354487,-0.48183012,0.13776094,-0.3239018,0.3818031,0.2890891,0.025187962,-0.05203335,-0.10465093,0.23030147,0.10341068,0.2909492,-0.19430608,-0.16333228,0.21542221,-0.30929816,0.20794544,-0.22896951,-0.4239282,0.34228152,-0.13909397,0.010386065,0.013444997,-0.0010095686,0.14214537,0.16342205,0.0023497902,0.2169717,0.026595488,-0.42830223,0.06921286
16,0.20934592,-0.14173645,-0.05116177,-0.1981675,-0.35744965,0.41788274,0.11129844,0.057844065,0.17229934,0.3572402,-0.2979275,0.8576719,0.26654303,-0.5249361,-0.11359678,-0.20411737,0.56064194,0.13094233,0.3345172,0.10389534,0.119155765,-0.4889151,-0.23875102,-0.4868778,0.35063556,-0.41574872,-0.2900513,-0.057925016,-0.4186896,-0.09449567,-0.2372117,0.070422925,-0.43860486,-0.07683103,-0.9390075,0.90706927,0.37779742,0.017163895,-0.029870123,-0.13371035,0.004213985,0.81289136,0.7731787,-0.26331803,0.3378076,0.043192774,-0.19406596,-0.59746575,-0.1847286,1.0256163,-0.21917546,0.11618234,0.30637184,0.5351863,-0.016111732,-0.02294454,-0.07541759,0.018353075,0.37703288,0.71409285,-0.51012886,-0.2746461,-0.47762287,-0.2618878
17,-0.025865786,-0.04360827,0.17972979,0.05926828,0.040277183,0.07366896,-0.060404748,0.009608343,-0.0648009,0.11766609,0.2834382,0.11396977,0.09903267,0.1536949,0.4404457,-0.047170624,0.17384873,0.10710348,-0.30811232,0.4738176,0.087155506,-0.07124406,0.042409725,0.08984944,0.1637246,-0.036352158,0.14429033,-0.25695568,-0.32832274,-0.026206233,0.3666216,0.09471318,0.28967503,-0.08854842,-0.15595312,-0.23509607,-0.23146781,-0.313164,-0.12318746,0.016026981,0.013493419,0.033543516,-0.3558096,0.5352144,0.022721421,0.051565744,0.037390176,0.23711966,0.00043669343,-0.11328614,0.047392353,-0.07375103,0.15338007,-0.11582483,-0.28895554,-0.012056583,-0.14167696,0.026331179,-0.4187871,0.6111901,-0.03603345,-0.08451009,0.048028424,-0.4153685
18,0.11844853,0.14908573,-0.13454485,0.07809584,-0.17240043,0.06122245,0.35927567,0.0073441863,0.21550412,-0.13493061,0.045968384,0.0014998689,0.09145646,0.18686417,0.06356153,0.4820754,0.08005835,0.11313289,-0.056169167,0.033033982,0.052671053,-0.23346256,0.13437407,0.23910162,-0.265558,0.016710632,-0.29935557,-0.09347497,-0.0662673,-0.34485582,0.0009794179,0.1708945,0.4156317,-0.34732133,0.389601,0.1359067,0.36768985,0.12604645,0.5045302,0.008901015,-0.03425347,0.1338217,-0.095409125,0.04804464,-0.16318534,0.034154966,0.044285923,-0.3729458,-0.0941805,-0.21415624,-0.1032304,-0.09982985,0.18892117,-0.30539608,-0.0375648,-0.51633865,-0.20517534,0.11084592,0.14137733,0.022582788,0.121025495,-0.06970796,-0.42448843,0.07491361
19,-0.016221866,-0.47277302,0.22302207,0.29830483,-0.63058305,0.4801647,-0.19221982,-0.90468967,0.2552126,-0.5198835,-0.25014818,-0.4402621,0.49360985,0.19203588,0.14192171,-0.0679227,0.7002087,0.10891601,0.34924626,0.060723424,0.06237433,0.4261005,-0.36359084,0.12566064,0.05868262,0.123138055,0.08109547,0.0893156,0.3570726,0.1557934,-0.11469889,-0.014682308,0.29063022,-0.0022761673,-0.2735673,-0.10514937,-0.20708916,-0.4410722,0.5590862,0.2645028,0.095379904,-0.3692378,0.67377734,0.061083704,0.25574052,0.71095574,0.12950341,-0.8984505,0.1665598,0.46283412,0.06567603,0.05409433,-0.012212809,0.47018415,-0.19705962,-0.5300422,0.4328332,-0.046499148,-0.026701257,-0.36235645,-0.0668402,-0.32735515,0.62374806,-0.20531394
20,-0.47016573,-0.88874227,0.1524207,0.5553505,-0.57759553,0.1056945,-0.47025836,-0.64558816,0.7683513,-0.026793063,0.3440873,-0.17451295,0.31208974,-0.47076553,0.073948845,0.56092644,0.67661977,0.3236711,0.444916,-0.38900506,0.05606863,-0.21020696,-0.29088324,-0.52251446,-0.047682106,0.04184278,0.48384923,-0.09347317,-0.1239769,0.26492763,-0.26507717,-0.065484166,0.08820324,0.23864333,-0.53269345,0.15765215,0.57264364,-0.64803857,0.32725537,-0.48228917,-0.1222958,0.26781568,0.39881438,-0.16998744,-0.0324537,0.8200554,0.25541842,-1.7022825,0.55932367,0.50126046,-0.22206366,-0.1492529,-0.26678365,0.43212715,0.3994849,-0.49313027,0.4923296,-0.27437314,-0.2389739,-0.38530788,-0.547906,-0.40228567,0.13020827,-0.6261403
21,-0.21233314,-0.08796394,0.39111173,0.059134632,0.20883164,0.19821528,-0.5227961,-1.1052283,0.39937073,-0.08563249,0.046275556,0.20925367,0.4731462,-0.5468198,0.3467455,0.069464274,-0.054368325,0.2592773,0.25817007,-0.2220518,-0.426578,0.29984185,0.045600932,0.2057944,-0.5390518,-0.3207566,0.5064799,0.21426523,-0.24040255,0.35754955,-0.24790591,0.4777889,-0.18124956,-0.4179186,-0.36267182,0.08456263,0.46143442,-0.95653534,-0.20970036,-0.21054418,0.01900515,0.6985838,0.3878762,-0.41006762,0.1490838,-0.10078479,-0.6448879,-0.3437457,0.6787103,0.39336798,-0.3897279,0.28655466,-0.07055031,0.20426011,0.22521433,-1.1655021,0.7530558,0.24017805,-0.53947455,0.4415219,-0.4610061,0.6593466,0.2668037,0.68251866
